tweet_id,image_url,dog_urls,rating_numerator,rating_denominator,favorites,prediction,prediction_confident
671729906628341761,https://pbs.twimg.com/media/CVJ2yR2UwAAdCzU.jpg,https://twitter.com/dog_rates/status/671729906628341761/photo/1,13,10,9119,kuvasz,0.431469
671561002136281088,https://pbs.twimg.com/media/CVHdK-7WwAAsuyc.jpg,https://twitter.com/dog_rates/status/671561002136281088/photo/1,13,10,13679,gordon_setter,0.4693729999999999
671547767500775424,https://pbs.twimg.com/media/CVHRIiqWEAAj98K.jpg,"https://twitter.com/dog_rates/status/671547767500775424/photo/1,https://twitter.com/dog_rates/status/671547767500775424/photo/1",10,10,1444,loafer,0.25508800000000004
671544874165002241,https://pbs.twimg.com/media/CVHOgDvU4AAfrXD.jpg,https://twitter.com/dog_rates/status/671544874165002241/photo/1,6,10,2126,feather_boa,0.240858
671542985629241344,https://pbs.twimg.com/media/CVHMyHMWwAALYXs.jpg,https://twitter.com/dog_rates/status/671542985629241344/photo/1,10,10,1166,shetland_sheepdog,0.980339
671538301157904385,https://pbs.twimg.com/media/CVHIhi2WsAEgdKk.jpg,https://twitter.com/dog_rates/status/671538301157904385/photo/1,8,10,993,park_bench,0.194211
671536543010570240,https://pbs.twimg.com/media/CVHG6_AWwAEJf_u.jpg,https://twitter.com/dog_rates/status/671536543010570240/photo/1,9,10,1253,pug,0.537652
671533943490011136,https://pbs.twimg.com/media/CVHEju0XAAEUZRY.jpg,https://twitter.com/dog_rates/status/671533943490011136/photo/1,6,10,1092,hen,0.556524
671528761649688577,https://pbs.twimg.com/media/CVG_2I-WIAASKSS.jpg,https://twitter.com/dog_rates/status/671528761649688577/photo/1,10,10,896,doberman,0.782626
671520732782923777,https://pbs.twimg.com/media/CVG4i9UWEAAUH3U.jpg,https://twitter.com/dog_rates/status/671520732782923777/photo/1,10,10,1499,pomeranian,0.551031
671518598289059840,https://pbs.twimg.com/media/CVG2l9jUYAAwg-w.jpg,https://twitter.com/dog_rates/status/671518598289059840/photo/1,9,10,1010,lakeland_terrier,0.428275
671511350426865664,https://pbs.twimg.com/media/CVGwAh-W4AAIHJz.jpg,https://twitter.com/dog_rates/status/671511350426865664/photo/1,8,10,1734,hermit_crab,0.625409
671504605491109889,https://pbs.twimg.com/media/CVGp4LKWoAAoD03.jpg,"https://twitter.com/dog_rates/status/671504605491109889/photo/1,https://twitter.com/dog_rates/status/671504605491109889/photo/1",11,10,7495,toy_poodle,0.259115
671497587707535361,https://pbs.twimg.com/media/CVGjflNWoAEwgrQ.jpg,https://twitter.com/dog_rates/status/671497587707535361/photo/1,11,10,980,swing,0.0891647
671488513339211776,https://pbs.twimg.com/media/CVGbPgrWIAAQ1fB.jpg,https://twitter.com/dog_rates/status/671488513339211776/photo/1,8,10,1073,hermit_crab,0.5287609999999999
671486386088865792,https://pbs.twimg.com/media/CVGZTboUsAATohd.jpg,https://twitter.com/dog_rates/status/671486386088865792/photo/1,10,10,621,german_shepherd,0.8270350000000001
671485057807351808,https://pbs.twimg.com/media/CVGYGNYXAAAQ9m-.jpg,https://twitter.com/dog_rates/status/671485057807351808/photo/1,11,10,806,samoyed,0.627901
671390180817915904,https://pbs.twimg.com/media/CVFBzpXVEAAHIOv.jpg,https://twitter.com/dog_rates/status/671390180817915904/photo/1,7,10,1513,zebra,0.997673
671362598324076544,https://pbs.twimg.com/media/CVEouDRXAAEe8mt.jpg,https://twitter.com/dog_rates/status/671362598324076544/photo/1,11,10,1193,tub,0.393616
671357843010908160,https://pbs.twimg.com/media/CVEkZaPXIAEw5vr.jpg,"https://twitter.com/dog_rates/status/671357843010908160/photo/1,https://twitter.com/dog_rates/status/671357843010908160/photo/1,https://twitter.com/dog_rates/status/671357843010908160/photo/1,https://twitter.com/dog_rates/status/671357843010908160/photo/1",9,10,426,italian_greyhound,0.831757
671355857343524864,https://pbs.twimg.com/media/CVEilyCUwAETbJ-.jpg,https://twitter.com/dog_rates/status/671355857343524864/photo/1,10,10,508,miniature_poodle,0.313811
671347597085433856,https://pbs.twimg.com/media/CVEbFDRWsAAkN_7.jpg,"https://twitter.com/dog_rates/status/671347597085433856/photo/1,https://twitter.com/dog_rates/status/671347597085433856/photo/1",9,10,1031,picket_fence,0.382918
671186162933985280,https://pbs.twimg.com/media/CVCIQX7UkAEzqh_.jpg,https://twitter.com/dog_rates/status/671186162933985280/photo/1,10,10,788,chihuahua,0.319106
671182547775299584,https://pbs.twimg.com/media/CVCE9uYXIAEtSzR.jpg,https://twitter.com/dog_rates/status/671182547775299584/photo/1,12,10,1193,rottweiler,0.331179
671166507850801152,https://pbs.twimg.com/media/CVB2TnWUYAA2pAU.jpg,https://twitter.com/dog_rates/status/671166507850801152/photo/1,10,10,931,refrigerator,0.829772
671163268581498880,https://pbs.twimg.com/media/CVBzbWsWsAEyNMA.jpg,https://twitter.com/dog_rates/status/671163268581498880/photo/1,8,10,1763,african_hunting_dog,0.733025
671159727754231808,https://pbs.twimg.com/media/CVBwNjVWwAAlUFQ.jpg,https://twitter.com/dog_rates/status/671159727754231808/photo/1,5,10,401,pitcher,0.117446
671154572044468225,https://pbs.twimg.com/media/CVBrhXoWIAAox_C.jpg,https://twitter.com/dog_rates/status/671154572044468225/photo/1,11,10,769,labrador_retriever,0.495047
671151324042559489,https://pbs.twimg.com/media/CVBokRSWsAADuXx.jpg,https://twitter.com/dog_rates/status/671151324042559489/photo/1,12,10,714,rottweiler,0.781201
671147085991960577,https://pbs.twimg.com/media/CVBktzQXAAAPpUA.jpg,https://twitter.com/dog_rates/status/671147085991960577/photo/1,9,10,713,yorkshire_terrier,0.4672020000000001
671141549288370177,https://pbs.twimg.com/media/CVBfrU9WUAApDeV.jpg,https://twitter.com/dog_rates/status/671141549288370177/photo/1,9,10,1246,guinea_pig,0.387728
671138694582165504,https://pbs.twimg.com/media/CVBdFahXAAAIe5Y.jpg,https://twitter.com/dog_rates/status/671138694582165504/photo/1,10,10,996,samoyed,0.587342
671134062904504320,https://pbs.twimg.com/media/CVBY3e7XIAAAE4Y.jpg,https://twitter.com/dog_rates/status/671134062904504320/photo/1,8,10,796,shih-tzu,0.18038
671122204919246848,https://pbs.twimg.com/media/CVBOFTLWwAAzlNi.jpg,https://twitter.com/dog_rates/status/671122204919246848/photo/1,4,10,3729,goose,0.351957
671115716440031232,https://pbs.twimg.com/media/CVBILUgVAAA1ZUr.jpg,https://twitter.com/dog_rates/status/671115716440031232/photo/1,6,10,1436,malinois,0.406341
671109016219725825,https://pbs.twimg.com/media/CVBCFkyU4AE2Wcr.jpg,https://twitter.com/dog_rates/status/671109016219725825/photo/1,8,10,1225,basenji,0.855959
